constructorId,url_constructor_logo,Constructor_RGB
1,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/McLaren_Racing_logo.svg/330px-McLaren_Racing_logo.svg.png,"255,99,0
18,35,158"
3,https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/Williams_Racing_2020_logo.png/330px-Williams_Racing_2020_logo.png,"254,21,0
231,62,75"
6,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Scuderia_Ferrari_Logo.svg/120px-Scuderia_Ferrari_Logo.svg.png,"218,165,32
255,215,0"
9,https://upload.wikimedia.org/wikipedia/en/f/ff/Oracle_Red_Bull_Racing_logo.png,"128,128,128
220,201,0"
51,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Alfa_Romeo_F1_Team_ORLEN_logo.svg/330px-Alfa_Romeo_F1_Team_ORLEN_logo.svg.png,"70,130,180
139,69,19"
117,https://www.f1-fansite.com/wp-content/uploads/2021/01/976c339f-37fb-429c-8cbc-f84fedf94da1-133x100.jpg,"192,192,192
247,205,5"
131,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Mercedes-Benz_in_Formula_One_logo.svg/330px-Mercedes-Benz_in_Formula_One_logo.svg.png,"70,130,180
105,105,105"
210,https://upload.wikimedia.org/wikipedia/commons/c/c7/Haas_F1_Team_logo.png,"211,211,211
192,192,192"
213,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Scuderia_Alpha-Tauri.svg/330px-Scuderia_Alpha-Tauri.svg.png,"169,169,169
255,255,255"
214,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Alpine_F1_Team_Logo.svg/330px-Alpine_F1_Team_Logo.svg.png,"255,222,173
210,180,140"
2,,"128,128,128
0,255,0"
4,,"160,82,45
244,164,96"
5,,"119,136,153
240,248,255"
7,,"192,192,192
112,231,114"
8,,"128,128,0
70,130,180"
10,,"112,181,245
128,128,128"
11,,"0,255,0
255,140,0"
12,,"220,201,0
128,128,0"
13,,"70,130,180
79,60,60"
14,,"192,192,192
180,163,163"
15,,"128,128,128
0,255,0"
16,,"255,140,0
220,201,0"
17,,"128,128,0
70,130,180"
18,,"160,82,45
244,164,96"
19,,"119,136,153
240,248,255"
20,,"192,192,192
0,0,128"
21,,"60,179,113
0,128,0"
22,,"255,255,0
255,140,0"
23,,"205,92,92
178,34,34"
24,,"124,52,22
250,235,215"
25,,"255,250,205
139,69,19"
26,,"205,133,63
255,218,185"
27,,"112,128,144
255,250,250"
28,,"0,0,0
105,105,105"
29,,"211,211,211
192,192,192"
30,,"169,169,169
255,255,255"
31,,"255,222,173
210,180,140"
32,,"128,128,128
0,255,0"
33,,"255,140,0
220,201,0"
34,,"128,128,0
70,130,180"
35,,"160,82,45
244,164,96"
36,,"119,136,153
240,248,255"
37,,"192,192,192
0,0,128"
38,,"60,179,113
0,128,0"
39,,"255,255,0
218,165,32"
40,,"255,140,0
205,92,92"
41,,"178,34,34
124,52,22"
42,,"255,99,71
255,215,0"
44,,"240,230,140
107,142,35"
45,,"0,100,0
144,238,144"
46,,"0,255,255
224,255,255"
47,,"176,224,230
254,21,0"
48,,"30,144,255
0,0,128"
49,,"250,235,215
255,250,205"
50,,"139,69,19
205,133,63"
52,,"255,218,185
112,128,144"
53,,"255,250,250
0,0,0"
54,,"105,105,105
211,211,211"
55,,"192,192,192
169,169,169"
56,,"124,52,22
255,99,71"
57,,"240,230,140
124,52,22"
58,,"255,99,71
255,215,0"
59,,"240,230,140
240,230,140"
60,,"255,99,0
124,52,22"
61,,"255,99,71
255,215,0"
62,,"240,230,140
124,52,22"
63,,"255,99,71
240,230,140"
64,,"240,230,140
255,99,0"
65,,"124,52,22
255,99,71"
66,,"255,215,0
240,230,140"
67,,"124,52,22
255,99,71"
68,,"255,215,0
240,230,140"
69,,"240,230,140
255,99,0"
70,,"124,52,22
255,99,71"
71,,"255,99,0
124,52,22"
72,,"255,99,71
255,215,0"
73,,"240,230,140
124,52,22"
74,,"255,99,71
255,215,0"
75,,"240,230,140
240,230,140"
76,,"255,99,0
255,215,0"
77,,"240,230,140
124,52,22"
78,,"255,99,71
255,215,0"
79,,"240,230,140
240,230,140"
80,,"255,99,71
255,215,0"
81,,"240,230,140
240,230,140"
82,,"124,52,22
255,99,71"
83,,"79,60,60
79,60,60"
84,,"255,99,71
255,215,0"
85,,"79,60,60
79,60,60"
86,,"240,230,140
240,230,140"
87,,"79,60,60
180,163,163"
88,,"180,163,163
180,163,163"
89,,"255,99,71
255,215,0"
90,,"255,99,71
255,215,0"
91,,"240,230,140
240,230,140"
92,,"255,99,71
180,163,163"
93,,"0,0,128
250,235,215"
94,,"255,250,205
139,69,19"
95,,"205,133,63
255,218,185"
96,,"112,128,144
255,250,250"
97,,"0,0,128
79,60,60"
98,,"205,133,63
255,218,185"
99,,"180,163,163
79,60,60"
100,,"205,133,63
255,218,185"
101,,"79,60,60
255,140,0"
102,,"128,128,0
"
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
167,,
166,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
211,,
